,name,count,probability,cumulative_probability
2102,HAM,15843,0.00010671605858305445,0.0998016689831139
2101,QUINTANILLA,15849,0.00010675647367814366,0.09990842545679204
2100,BELLAMY,15850,0.00010676320952732519,0.10001518866631937
2099,MAGUIRE,15853,0.0001067834170748698,0.10012197208339424
2098,SHIN,15857,0.00010681036047159593,0.10022878244386584
2097,BETANCOURT,15876,0.00010693834160604509,0.10033572078547189
2096,WOODALL,15877,0.00010694507745522663,0.1004426658629271
2095,LADD,15898,0.00010708653028803886,0.10054975239321515
2094,EASLEY,15902,0.000107113473684765,0.10065686586689991
2093,DOAN,15902,0.000107113473684765,0.10076397934058468
2092,CHADWICK,15913,0.00010718756802576187,0.10087116690861044
2091,MARK,15916,0.00010720777557330648,0.10097837468418375
2090,ALTMAN,15916,0.00010720777557330648,0.10108558245975706
2089,MARCUM,15925,0.00010726839821594029,0.101192850857973
2088,DELUCA,15928,0.0001072886057634849,0.10130013946373648
2087,NAYLOR,15930,0.00010730207746184797,0.10140744154119832
2086,AREVALO,15942,0.00010738290765202638,0.10151482444885035
2085,SCHREIBER,15945,0.00010740311519957098,0.10162222756404991
2084,PERDUE,15958,0.00010749068123893094,0.10172971824528884
2083,SCHILLING,15968,0.00010755803973074628,0.10183727628501958
2082,HAWTHORNE,15968,0.00010755803973074628,0.10194483432475032
2081,HOFFMANN,15970,0.00010757151142910935,0.10205240583617943
2080,AMADOR,15997,0.0001077533793570108,0.10216015921553644
2079,NAVARRETE,16010,0.00010784094539637074,0.1022680001609328
2078,KEYES,16020,0.00010790830388818608,0.10237590846482099
2077,BARRAGAN,16021,0.00010791503973736762,0.10248382350455836
2076,GAGE,16022,0.00010792177558654915,0.1025917452801449
2075,PENDLETON,16026,0.00010794871898327529,0.10269969399912818
2074,ARNETT,16027,0.00010795545483245683,0.10280764945396063
2073,LOPES,16029,0.0001079689265308199,0.10291561838049146
2072,JANSEN,16036,0.00010801607747509065,0.10302363445796654
2071,GIORDANO,16036,0.00010801607747509065,0.10313165053544163
2070,RIDER,16048,0.00010809690766526907,0.10323974744310689
2069,MALLOY,16056,0.00010815079445872134,0.10334789823756561
2068,CHEUNG,16067,0.00010822488879971822,0.10345612312636533
2067,LINCOLN,16070,0.00010824509634726283,0.10356436822271259
2066,STOVALL,16073,0.00010826530389480742,0.1036726335266074
2065,BEGAY,16076,0.00010828551144235204,0.10378091903804974
2064,ADAMSON,16080,0.00010831245483907817,0.10388923149288883
2063,VALADEZ,16083,0.00010833266238662277,0.10399756415527545
2062,FOOTE,16093,0.00010840002087843812,0.10410596417615388
2061,LAUGHLIN,16097,0.00010842696427516426,0.10421439114042905
2060,ENNIS,16102,0.00010846064352107194,0.10432285178395012
2059,BAUM,16109,0.00010850779446534268,0.10443135957841547
2058,BRUNSON,16118,0.00010856841710797649,0.10453992799552345
2057,DUFF,16119,0.00010857515295715803,0.1046485031484806
2056,PARR,16120,0.00010858188880633956,0.10475708503728695
2055,HENNING,16153,0.00010880417182933021,0.10486588920911628
2054,BARTLEY,16154,0.00010881090767851174,0.1049747001167948
2053,GRAYSON,16158,0.00010883785107523787,0.10508353796787004
2052,OLIVAS,16164,0.00010887826617032708,0.10519241623404037
2051,BAER,16165,0.00010888500201950862,0.10530130123605988
2050,ABERNATHY,16194,0.00010908034164577313,0.10541038157770566
2049,SHOOK,16202,0.00010913422843922541,0.10551951580614488
2048,REYNOSO,16208,0.00010917464353431462,0.1056286904496792
2047,RADER,16212,0.00010920158693104076,0.10573789203661023
2046,CRANDALL,16212,0.00010920158693104076,0.10584709362354126
2045,GOLDSMITH,16238,0.00010937671900976066,0.10595647034255103
2044,HAWK,16240,0.00010939019070812373,0.10606586053325914
2043,OROURKE,16263,0.00010954511523929903,0.10617540564849844
2042,COTTRELL,16288,0.00010971351146883739,0.10628511915996727
2041,EASTMAN,16295,0.00010976066241310814,0.10639487982238038
2040,ADLER,16305,0.00010982802090492348,0.1065047078432853
2039,CONROY,16309,0.00010985496430164962,0.10661456280758695
2038,ISAAC,16312,0.00010987517184919423,0.10672443797943615
2037,ALONZO,16326,0.00010996947373773572,0.10683440745317388
2036,SCHULTE,16327,0.00010997620958691724,0.1069443836627608
2035,HONEYCUTT,16330,0.00010999641713446185,0.10705438007989526
2034,SCHWAB,16332,0.00011000988883282492,0.10716438996872808
2033,HOOKS,16341,0.00011007051147545873,0.10727446048020355
